Product Code,Title,Supplier Name,Supplier Reference,Status,From Price (USD),Rating,Review Count,Duration (Mins),Canonical Viator URL,FareHarbor Match Status,FareHarbor Operator,FareHarbor Shortname,FareHarbor Item ID,FareHarbor Flow ID,Match Evidence / Notes
"3780STEAMDIN","New Orleans Steamboat Natchez Jazz Cruise with Dinner Option","Gray Line New Orleans","SUPPLIER-AIVIONkKdK8JLCRg2obcyw==","ACTIVE","58","4.1356225","8155","","https://www.viator.com/tours/New-Orleans/Steamboat-Natchez-Jazz-Dinner-Cruise/d675-3780STEAMDIN?mcid=42383&pid=P00306962&medium=api&api_version=2.0","both-confirmed","Gray Line New Orleans / New Orleans Steamboat Co.","neworleanssteamboatcompany","","","Direct item match: FH ID 'evening-jazz-cruise' on 'neworleanssteamboatcompany' (Item: vessel-flow, Flow: direct)"
"3780STEAM","New Orleans Steamboat Natchez Jazz Cruise","Gray Line New Orleans","SUPPLIER-AIVIONkKdK8JLCRg2obcyw==","ACTIVE","36.97","4.263553","5995","","https://www.viator.com/tours/New-Orleans/Steamboat-Natchez-Harbor-Cruise/d675-3780STEAM?mcid=42383&pid=P00306962&medium=api&api_version=2.0","both-confirmed","Gray Line New Orleans / New Orleans Steamboat Co.","neworleanssteamboatcompany","","","Direct item match: FH ID 'daytime-jazz-cruise' on 'neworleanssteamboatcompany' (Item: vessel-flow, Flow: direct)"
"5889GHOST","New Orleans Premier Ghost, Voodoo and Vampire Walking Tour","Witches Brew Tours","SUPPLIER-O7HfB6f8jsdGQRyiBv89ZQ==","ACTIVE","36.99","4.549075","13734","","https://www.viator.com/tours/New-Orleans/New-Orleans-Haunted-Walking-Tour-Ghosts-Vampires-Witchcraft-and-Voodoo/d675-5889GHOST?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"6455NOLAAIR","New Orleans Airboat Ride","Airboat Adventures","SUPPLIER-7eNlteakiwgCVdiaT3VQkg==","ACTIVE","50","4.7069097","5210","","https://www.viator.com/tours/New-Orleans/New-Orleans-Airboat-Ride/d675-6455NOLAAIR?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"15200P5","New Orleans Swamp Tour Boat Adventure","Louisiana Tour company","SUPPLIER-8uzrrU87wFWL6UuPGaaAkw==","ACTIVE","35","4.852113","2272","","https://www.viator.com/tours/New-Orleans/New-Orleans-Swamp-Tour-Boat-Adventure/d675-15200P5?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"360446P1","Airboat Swamp Tour","Ragin Cajun Swamp Tours, LLC","SUPPLIER-MMapcC0R+BSJH6rxktuBiQ==","ACTIVE","67","4.9014087","355","","https://www.viator.com/tours/Louisiana/Airboat-Swamp-Tours/d22168-360446P1?mcid=42383&pid=P00306962&medium=api&api_version=2.0","both-confirmed","Ragin Cajun Tours","ragincajuntours","590176","392449","Direct item match: FH ID 'ragincajun-covered-boat' (Item: 590176, Flow: 392449)"
"60593P4","St. Louis Cemetery No. 1 Official Walking Tour","Basin St. Station","SUPPLIER-LHawVLZ6Xvy//cF9Y0JEKQ==","ACTIVE","25","4.629717","4664","","https://www.viator.com/tours/New-Orleans/Insiders-Tour-of-St-Louis-Cemetery-1-A-walk-among-New-Orleans-historic-tombs/d675-60593P4?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"175552P1","Adults-Only New Orleans Ghost, Crime, Voodoo, and Vampire Tour","Hottest Hell Tours - Adults Only","SUPPLIER-capbir9Rey9vQ3F5w0nO2Q==","ACTIVE","37","4.7497535","7093","","https://www.viator.com/tours/New-Orleans/New-Orleans-Supernatural-and-Dark-History-Tour/d675-175552P1?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"15200P6","New Orleans Swamp Tour Boat Adventure with Transportation","Louisiana Tour company","SUPPLIER-8uzrrU87wFWL6UuPGaaAkw==","ACTIVE","60","4.832184","1305","","https://www.viator.com/tours/New-Orleans/New-Orleans-Swamp-Tour-Boat-Adventure-With-Pickup/d675-15200P6?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"6205FOODNOLA","New Orleans Food Walking Tour of the French Quarter with Small-Group Option","Destination Kitchen","SUPPLIER-5Q+tEMqLTG5mM2OnOIZUCQ==","ACTIVE","82","4.830242","6686","","https://www.viator.com/tours/New-Orleans/New-Orleans-Food-Walking-Tour-of-the-French-Quarter/d675-6205FOODNOLA?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"3780P45","New Orleans 75-Minute Riverboat Sightseeing Cruise","Gray Line New Orleans","SUPPLIER-AIVIONkKdK8JLCRg2obcyw==","ACTIVE","25.75","4.170886","158","","https://www.viator.com/tours/New-Orleans/Mardi-Gras-Jazz-Brunch-Cruise/d675-3780P45?mcid=42383&pid=P00306962&medium=api&api_version=2.0","possible-match-needs-review","Gray Line New Orleans / New Orleans Steamboat Co.","neworleanssteamboatcompany","","","Operator is on FareHarbor under 'neworleanssteamboatcompany', but this specific tour code is not yet item-mapped."
"6953SWAMPTRANS","New Orleans Swamp and Bayou Boat Tour with Transportation","Cajun Encounters Tour Co.","SUPPLIER-Ls68Tv9wCH9YKPX1YdQD0g==","ACTIVE","75.52","4.9142256","7100","","https://www.viator.com/tours/New-Orleans/Honey-Island-Swamp-Tour-With-Transport/d675-6953SWAMPTRANS?mcid=42383&pid=P00306962&medium=api&api_version=2.0","possible-match-needs-review","","","","","Active on Viator (supplier ref SUPPLIER-Ls68Tv9wCH9YKPX1YdQD0g==); NO active FareHarbor item/flow ID configured in repository."
"15200P7","New Orleans City Tour: French Quarter, Garden District & Cemetery","Louisiana Tour company","SUPPLIER-8uzrrU87wFWL6UuPGaaAkw==","ACTIVE","40","4.750998","2755","","https://www.viator.com/tours/New-Orleans/New-Orleans-City-Tour-Katrina-Garden-District-French-Quarter-Graveyard/d675-15200P7?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"88100P3","Paddlewheeler Creole Queen Jazz Dinner Cruise in New Orleans","New Orleans Paddlewheels Inc.","SUPPLIER-HDHqlDdA6BooDyAZ8Jnt1w==","ACTIVE","60","4.1468573","1607","","https://www.viator.com/tours/New-Orleans/2-Hour-Mississippi-River-Dinner-Jazz-Cruise-on-the-Paddlewheeler-Creole-Queen/d675-88100P3?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"3780SWPL","Swamp Boat Ride and Oak Alley Plantation Tour from New Orleans","Gray Line New Orleans","SUPPLIER-AIVIONkKdK8JLCRg2obcyw==","ACTIVE","131","4.7619996","3521","","https://www.viator.com/tours/New-Orleans/Swamp-Boat-Ride-and-Southern-Plantation-Tour-from-New-Orleans/d675-3780SWPL?mcid=42383&pid=P00306962&medium=api&api_version=2.0","both-confirmed","Gray Line New Orleans / New Orleans Steamboat Co.","neworleanssteamboatcompany","562191","1220421","Direct item match: FH ID 'swamp-boat-oak-alley-combo' on 'neworleanssteamboatcompany' (Item: 562191, Flow: 1220421)"
"5694NOHOHO","New Orleans City Sightseeing Hop-On Hop-Off Bus Tour","City Sightseeing Ltd - USA and Middle East","SUPPLIER-HXu8YufbT9ClIPgc4sbujA==","ACTIVE","51","4.321497","5210","","https://www.viator.com/tours/New-Orleans/City-Sightseeing-New-Orleans-Hop-On-Hop-Off-Tour/d675-5694NOHOHO?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
"15200P4","Small-Group Airboat Swamp Tour with Downtown New Orleans Pickup","Louisiana Tour company","SUPPLIER-8uzrrU87wFWL6UuPGaaAkw==","ACTIVE","115","4.9079547","1760","","https://www.viator.com/tours/New-Orleans/Small-Group-Swamp-Tour-by-Airboat-With-Downtown-New-Orleans-Pickup/d675-15200P4?mcid=42383&pid=P00306962&medium=api&api_version=2.0","viator-only","","","","","Live on Viator; not present in current FareHarbor inventory."
