Supplier Name,Supplier Reference,Active Products on Viator,Total Products Fetched,Sample Product Codes,FareHarbor Match Status,FareHarbor Shortname,FareHarbor Verified Items Count,Notes / Strategic Assessment for WNO
"Gray Line New Orleans","SUPPLIER-AIVIONkKdK8JLCRg2obcyw==","21","21","3780STEAMDIN; 3780STEAM; 3780P45; 3780SWPL","both-confirmed","neworleanssteamboatcompany","15","Confirmed on both: 18 active Viator tours, 15 FareHarbor items configured on shortname 'neworleanssteamboatcompany'."
"Louisiana Tour company","SUPPLIER-8uzrrU87wFWL6UuPGaaAkw==","14","14","15200P5; 15200P6; 15200P7; 15200P4","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Haunted History Tours","SUPPLIER-xe2YbZ42ogLOrNtIzC5ybg==","10","10","3252P9; 3252_1; 3252P5; 3252P11","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"New Orleans Ghost Adventures","SUPPLIER-47KZT6ihrq1jS9v+gTOO6A==","6","6","24382P16; 24382P6; 24382P3; 24382P7","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Basin St. Station","SUPPLIER-LHawVLZ6Xvy//cF9Y0JEKQ==","4","4","60593P4; 60593P3; 60593P2; 60593P1","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"New Orleans Paddlewheels Inc.","SUPPLIER-HDHqlDdA6BooDyAZ8Jnt1w==","5","5","88100P3; 88100P1; 88100P4; 88100P10","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Tours by Isabelle","SUPPLIER-/SCgQegRelYc02enrvEGfg==","11","11","2292AIRBOAT; 2292GRAND; 2292ADEAST; 2292NOCET","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Cajun Encounters Tour Co.","SUPPLIER-Ls68Tv9wCH9YKPX1YdQD0g==","7","7","6953SWAMPTRANS; 6953P16; 6953SWAMP; 6953P8","possible-match-needs-review","","0","Major New Orleans operator with 5 active Viator tours (including Honey Island Swamp); NO active FareHarbor items or flows configured in repository."
"Audubon Nature Institute Inc.","SUPPLIER-hh2Rlyj99zddvHino4J2GA==","3","3","424316P2; 424316P3; 424316P1","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Royal Carriages","SUPPLIER-GFEZgDj16HUVM/uVIs0KjQ==","3","3","33024P6; 33024P8; 33024P7","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"New Orleans School of Cooking","SUPPLIER-SQYKtDbUF9Tqhlbx1NW9wQ==","3","3","3108P2; 3108LUNCH; 3108P5","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Doctor Gumbo Tours","SUPPLIER-uhTuEGs0R00a22vvRVDMHg==","3","3","6484NOLAFOOD; 6484P3; 6484FRQCK","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"2nd Line Tours/Experience","SUPPLIER-s/jb9NZYcqhzTEP+NcQ6oA==","6","6","325289P1; 325289P3; 325289P8; 325289P7","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Jazzy Limousine & Shuttle","SUPPLIER-9eIcJZth3v0zt7mD8ieSrQ==","7","7","132425P2; 132425P5; 132425P3; 132425P7","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Treme Luxury Experience","SUPPLIER-KHkYeUkYk3seOTqxWFq8lQ==","5","5","186622P6; 186622P5; 186622P2; 186622P1","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"New Orleans Aerial Tours & Flight Training","SUPPLIER-oS/CtoUPSHXzMhVfTvS7iA==","5","5","6201EASYNIGHT; 6201BIGEASY; 6201AVIATOR; 6201CHOCOCHAMP","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Witches Brew Tours","SUPPLIER-O7HfB6f8jsdGQRyiBv89ZQ==","9","9","5889GHOST; 5889P11; 5889P17; 5889P16","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Airboat Adventures","SUPPLIER-7eNlteakiwgCVdiaT3VQkg==","3","3","6455NOLAAIR; 6455P7; 6455P6","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Destination Kitchen","SUPPLIER-5Q+tEMqLTG5mM2OnOIZUCQ==","10","10","6205FOODNOLA; 6205P7; 6205P19; 6205P23","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"NOLA GhostRiders","SUPPLIER-ODu+cYHhAXmF5xbqwDTQ2A==","9","9","64332P4; 64332P13; 64332P7; 64332P10","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"The Mardi Gras School of Cooking","SUPPLIER-UI+RJAdC/w4dcpajZI4kxQ==","3","3","64703P2; 64703P5; 64703P3","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
"Intrepid Urban Adventures - USA","SUPPLIER-HR5/EUMEl2FTKjfmNTvqlw==","4","4","5713P92; 5713P96; 5713P152; 5713P195","viator-only","","0","Live on Viator; not configured in current FareHarbor inventory."
